name_index,semester1,semester2,semester3,semester4,semester5,semester6,semester7,semester8,semester1_result,semester2_result,semester3_result,semester4_result,semester5_result,semester6_result,semester7_result,semester8_result,isBackLogPresent1,isBackLogPresent2,isBackLogPresent3,isBackLogPresent4,isBackLogPresent5,isBackLogPresent6,isBackLogPresent7,isBackLogPresent8,overall_result
0,453,469,611,626,599,667,436,518,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1,536,484,544,522,519,503,640,730,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
2,613,558,752,790,685,672,370,523,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
3,543,569,632,732,762,803,627,803,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
4,487,501,629,606,620,568,467,554,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
5,517,507,555,580,582,603,393,374,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1
6,607,611,726,732,695,774,514,454,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
7,611,532,610,618,616,627,622,613,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
8,458,426,550,521,489,524,399,375,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
9,383,354,424,399,387,387,589,695,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
10,538,452,586,581,577,580,352,511,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
11,563,591,691,650,618,640,370,364,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
12,595,640,473,626,676,730,354,387,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
13,596,520,608,600,562,629,525,510,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
14,593,481,595,529,509,484,477,534,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
15,571,428,510,503,494,504,470,598,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
16,630,607,738,720,707,715,692,773,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
17,556,519,636,613,588,616,426,524,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
18,564,472,583,610,653,593,505,562,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0
19,446,373,440,423,394,436,388,460,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
20,466,425,503,484,424,524,318,449,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
21,510,495,656,673,659,705,678,727,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
22,615,610,743,630,573,575,306,307,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0
23,600,537,617,491,424,431,625,739,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
24,596,532,535,547,522,585,494,609,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
25,558,472,589,621,627,646,373,436,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
26,500,436,546,528,520,518,557,663,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0
27,602,638,779,728,718,688,447,574,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1
28,503,562,677,711,721,736,507,563,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1
29,649,669,799,755,716,750,505,578,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1
30,579,582,694,622,640,531,436,604,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
31,444,370,530,525,522,523,379,385,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
